Alabama,District,Name,Party,Committee Assignment,
Alabama,1st,"Carl, Jerry",R,Appropriations|Natural Resources,
Alabama,2nd,"Moore, Barry",R,Agriculture|Judiciary,
Alabama,3rd,"Rogers, Mike",R,Armed Services,
Alabama,4th,"Aderholt, Robert",R,Appropriations,
Alabama,5th,"Strong, Dale",R,"Armed Services|Homeland Security|Science, Space, and Technology",
Alabama,6th,"Palmer, Gary",R,Oversight and Accountability|Energy and Commerce,
Alabama,7th,"Sewell, Terri",D,Armed Services|House Administration|Joint Committee of Congress on the Library|Ways and Means,
Alaska,Alaska,,,,
Alaska,District,Name,Party,Committee Assignment,
Alaska,At Large,"Peltola, Mary",D,Natural Resources|Transportation and Infrastructure,
American Samoa,American Samoa,,,,
American Samoa,District,Name,Party,Committee Assignment,
American Samoa,Delegate,"Radewagen, Aumua Amata",R,Foreign Affairs|Natural Resources|Veterans' Affairs,
Arizona,Arizona,,,,
Arizona,District,Name,Party,Committee Assignment,
Arizona,1st,"Schweikert, David",R,Ways and Means,
Arizona,2nd,"Crane, Elijah",R,Homeland Security|Small Business|Veterans' Affairs,
Arizona,3rd,"Gallego, Ruben",D,Armed Services|Natural Resources,
Arizona,4th,"Stanton, Greg",D,Foreign Affairs|Transportation and Infrastructure,
Arizona,5th,"Biggs, Andy",R,Oversight and Accountability|Judiciary,
Arizona,6th,"Ciscomani, Juan",R,Appropriations|Veterans' Affairs,
Arizona,7th,"Grijalva, Raul",D,Education and the Workforce|Natural Resources,
Arizona,8th,"Lesko, Debbie",R,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,
Arizona,9th,"Gosar, Paul",R,Oversight and Accountability|Natural Resources,
Arkansas,Arkansas,,,,
Arkansas,District,Name,Party,Committee Assignment,
Arkansas,1st,"Crawford, Eric",R,"Agriculture|Intelligence|Transportation and Infrastructure|Science, Space, and Technology",
Arkansas,2nd,"Hill, J.",R,Financial Services|Foreign Affairs|Intelligence,
Arkansas,3rd,"Womack, Steve",R,Appropriations,
Arkansas,4th,"Westerman, Bruce",R,Natural Resources|Transportation and Infrastructure,
California,California,,,,
California,District,Name,Party,Committee Assignment,
California,1st,"LaMalfa, Doug",R,Agriculture|Natural Resources|Transportation and Infrastructure,
California,2nd,"Huffman, Jared",D,Natural Resources|Transportation and Infrastructure,
California,3rd,"Kiley, Kevin",R,Education and the Workforce|Judiciary,
California,4th,"Thompson, Mike",D,Ways and Means,
California,5th,"McClintock, Tom",R,Budget|Natural Resources|Judiciary,
California,6th,"Bera, Ami",D,Foreign Affairs|Intelligence|Select Subcommittee on the Coronavirus Pandemic,
California,7th,"Matsui, Doris",D,Energy and Commerce,
California,8th,"Garamendi, John",D,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Transportation and Infrastructure,
California,9th,"Harder, Josh",D,Appropriations,
California,10th,"DeSaulnier, Mark",D,Education and the Workforce|Transportation and Infrastructure|Ethics,
California,11th,"Pelosi, Nancy",D,,
California,12th,"Lee, Barbara",D,Appropriations|Budget,
California,13th,"Duarte, John",R,Agriculture|Natural Resources|Transportation and Infrastructure,
California,14th,"Swalwell, Eric",D,Homeland Security|Judiciary,
California,15th,"Mullin, Kevin",D,"Natural Resources|Science, Space, and Technology",
California,16th,"Eshoo, Anna",D,Energy and Commerce,
California,17th,"Khanna, Ro",D,Armed Services|Oversight and Accountability|Select Comm on the Strategic Competition US and China,
California,18th,"Lofgren, Zoe",D,"Judiciary|Science, Space, and Technology",
California,19th,"Panetta, Jimmy",D,Armed Services|Budget|Ways and Means,
California,20th,"McCarthy, Kevin",R,,
California,21st,"Costa, Jim",D,Agriculture|Foreign Affairs,
California,22nd,"Valadao, David",R,Appropriations|Budget,
California,23rd,"Obernolte, Jay",R,"Energy and Commerce|Science, Space, and Technology",
California,24th,"Carbajal, Salud",D,Agriculture|Armed Services|Transportation and Infrastructure,
California,25th,"Ruiz, Raul",D,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,
California,26th,"Brownley, Julia",D,Transportation and Infrastructure|Veterans' Affairs,
California,27th,"Garcia, Mike",R,"Appropriations|Intelligence|Science, Space, and Technology",
California,28th,"Chu, Judy",D,Small Business|Ways and Means,
California,29th,"Cardenas, Tony",D,Energy and Commerce,
California,30th,"Schiff, Adam",D,Judiciary,
California,31st,"Napolitano, Grace",D,Natural Resources|Transportation and Infrastructure,
California,32nd,"Sherman, Brad",D,Financial Services|Foreign Affairs,
California,33rd,"Aguilar, Pete",D,Appropriations,
California,34th,"Gomez, Jimmy",D,Oversight and Accountability|Intelligence,
California,35th,"Torres, Norma",D,Appropriations|House Administration,
California,36th,"Lieu, Ted",D,"Foreign Affairs|Judiciary|Science, Space, and Technology",
California,37th,"Kamlager-Dove, Sydney",D,Foreign Affairs|Natural Resources,
California,38th,"Sanchez, Linda",D,Select Subcommittee on the Weaponization of the Fed Govt|Ways and Means,
