"Rank","Name","Minimum Net Worth","Average","Maximum Net Worth"
"95","Pete Stauber (R-Minn)","-$5463985","-$2519494","$424996"
"94","Sharice Davids (D-Kan)","-$458991","-$170997","$116997"
"93","Jahana Hayes (D-Conn)","-$299999","-$107501","$84997"
"92","Rashida Tlaib (D-Mich)","-$310995","-$87999","$134997"
"91","Ilhan Omar (D-Minn)","-$65000","-$45000","-$25001"
"90","Jim Hagedorn (R-Minn)","-$63999","-$37000","-$10001"
"89","Jared Golden (D-Maine)","-$96993","-$29497","$37999"
"88","Ron Wright (R-Texas)","-$228997","-$17001","$194994"
"87","Ross Spano (R-Fla)","-$381994","-$16000","$349994"
"85","Abby Finkenauer (D-Iowa)","-$49999","-$12500","$24999"
"85","Ayanna Pressley (D-Mass)","-$514999","-$12500","$489999"
"84","Alexandria Ocasio-Cortez (D-NY)","-$46997","-$8499","$29999"
"83","Lauren A Underwood (D-Ill)","$2002","$16001","$30000"
"82","Kyrsten Sinema (D-Ariz)","-$19998","$32500","$84999"
"81","Joe Cunningham (D-SC)","-$57992","$43503","$144999"
"80","Joseph Neguse (D-Colo)","$20001","$50000","$80000"
"79","Russ Fulcher (R-Idaho)","-$114992","$105003","$324999"
"78","Lance Gooden (R-Texas)","$66004","$135502","$205000"
"77","Xochitl Torres Small (D-NM)","$47010","$135505","$224000"
"76","Katie Hill (D-Calif)","$39014","$138507","$238000"
"75","Veronica Escobar (D-Texas)","-$92991","$143502","$379995"
"74","Guy Reschenthaler (R-Pa)","-$237990","$186004","$609998"
"73","Haley Stevens (D-Mich)","$47020","$201510","$356000"
"72","Steven Horsford (D-Nev)","$70016","$211008","$352000"
"71","Kendra Horn (D-Okla)","-$89989","$215004","$519997"
