"Name","Growth Percentage","Avg. Wealth 2008","Avg. Wealth 2018"
" **   ** Napolitano Grace (D-Calif)","11312.6%","$8000","$913004"
" **   ** Chu Judy (D-Calif)","7606.0%","$92007","$7090031"
" **   ** Olson Pete (R-Texas)","6524.7%","$85514","$5665019"
" **   ** Peterson Collin C (D-Minn)","3334.4%","$123502","$4241504"
" **   ** Pingree Chellie (D-Maine)","2148.4%","$442002","$9938006"
" **   ** Guthrie Steven Brett (R-Ky)","1718.0%","$421506","$7663010"
" **   ** Wittman Rob (R-Va)","1137.2%","$133004","$1645563"
" **   ** Bishop Rob (R-Utah)","1056.8%","$3501","$40501"
" **   ** Heinrich Martin (D-NM)","1031.2%","$27317","$309017"
" **   ** Johnson Eddie Bernice (D-Texas)","970.4%","$57503","$615501"
